CSTRAT,ELAB,MEMO,READING,ESCS,GENDER,IMMIGR
-0.0411,-2.4098,0.395,382.61,-0.1846,0,1
0.7826,1.1676,0.1036,562.42,0.0441,1,1
0.7826,1.1676,-0.5436,610.8,0.028,1,1
-0.2945,-0.2743,0.395,440.4,0.027,1,0
0.2159,-0.2743,-0.2055,533.66,-0.368,1,0
-0.0411,-0.6208,-1.9702,571.95,0.1637,1,0
-0.0411,-1.0185,1.3297,459.94,-1.6627,1,1
-0.5485,-1.0185,-0.2055,508.32,-0.1621,1,0
0.2159,-0.2743,-0.2055,523.25,1.1931,1,0
1.6056,0.3277,0.1036,571,-0.9863,1,1
-0.0411,-0.2743,-0.2055,522.7,-0.0301,1,0
2.504,1.1676,1.3297,484.57,1.6047,1,1
-0.2945,0.6034,-0.2055,425.22,-0.9062,1,0
0.2159,1.4986,0.1036,381.05,-0.0012,1,1
-0.8077,-0.6208,-0.9276,535.96,1.1931,1,0
0.4861,1.1676,1.7893,544.46,-0.0101,1,1
0.4861,0.8778,0.1036,520.15,-0.6967,1,0
-0.0411,0.8778,0.395,406,-0.4144,1,0
0.4861,-0.6208,0.1036,514.59,-0.2754,1,0
0.7826,0.8778,1.7893,339.43,-1.6424,1,0
1.1341,2.7571,0.395,376.6,-1.2125,0,1
0.2159,0.6034,0.395,555.29,0.0992,0,0
-0.0411,-0.6208,0.6832,556.81,-1.783,0,1
-0.8077,-1.5227,0.1036,377.8,-1.1337,0,0
0.2159,-0.2743,-0.2055,478.65,-0.9227,0,0
-0.0411,0.8778,0.6832,382.21,-0.7683,0,1
-0.0411,0.6034,0.395,538.13,-0.9713,0,1
-1.3664,0.0385,-0.5436,338.04,0.1345,0,0
-0.0411,0.3277,0.395,503.1,0.6052,0,0
-0.8077,0.0385,-0.2055,558.17,-0.8975,0,0
0.4861,-0.2743,0.6832,512.32,-0.8135,0,1
